iter	Logloss
0	0.6509755622
1	0.6116621687
2	0.5751611626
3	0.546600337
4	0.5208376542
5	0.4988371901
6	0.47862705
7	0.4621670733
8	0.4463218379
9	0.4346002529
10	0.4242105217
11	0.4126450416
12	0.4037854642
13	0.3949483822
14	0.3867329536
15	0.3803090897
16	0.3745734044
17	0.3694758068
18	0.3654823689
19	0.3613003635
20	0.3568745808
21	0.3532760278
22	0.3506504492
23	0.3475709922
24	0.3448311344
25	0.3422535973
26	0.3399334753
27	0.3375535108
28	0.3357812375
29	0.3338515423
30	0.3324032227
31	0.3308992794
32	0.3291369711
33	0.3277479483
34	0.3263978246
35	0.3254976623
36	0.3242494187
37	0.3232341065
38	0.3222473113
39	0.321084165
40	0.3198705103
41	0.3188853235
42	0.3177778211
43	0.3169499884
44	0.3159997604
45	0.3152117039
46	0.3144880931
47	0.3139713173
48	0.3133272253
49	0.3126772211
50	0.3122030701
51	0.3115275851
52	0.3106382538
53	0.3101194212
54	0.3097872951
55	0.3092823853
56	0.308681595
57	0.3081031824
58	0.307772689
59	0.3074477928
60	0.3068739501
61	0.306564855
62	0.3061291726
63	0.3056185885
64	0.3048870632
65	0.3045197067
66	0.3041287708
67	0.3037007744
68	0.3033102016
69	0.3025401149
70	0.3021234808
71	0.3018847279
72	0.3015936772
73	0.3012732632
74	0.3010279323
75	0.3006090197
76	0.3003911709
77	0.3001413632
78	0.2997913247
79	0.2995596891
80	0.2992002988
81	0.2989791175
82	0.2984907187
83	0.2981706728
84	0.2979082784
85	0.2976062129
86	0.2973098848
87	0.2970464677
88	0.2967462531
89	0.2964548316
90	0.2962368672
91	0.2958703747
92	0.2957400948
93	0.295462134
94	0.2953146908
95	0.2950782083
96	0.2949060087
97	0.2946654223
98	0.2944571093
99	0.2942321969
100	0.2939713111
101	0.2937881556
102	0.2936111575
103	0.2934109538
104	0.2932608806
105	0.293010615
106	0.2927607674
107	0.2926788986
108	0.2924573091
109	0.2922696637
110	0.2921396755
111	0.2919547157
112	0.291401365
113	0.2912697902
114	0.2911146812
115	0.2909723733
116	0.2908614393
117	0.2907266804
118	0.2905732756
119	0.2904149999
120	0.2902074418
121	0.2900410472
122	0.289918756
123	0.2894538265
124	0.2891525031
125	0.2889597841
126	0.2887128696
127	0.2885839568
128	0.2884650792
129	0.2883548574
130	0.2878415747
131	0.2876780114
132	0.2875646432
133	0.2874184015
134	0.2872971438
135	0.2872028585
136	0.2870754282
137	0.2869223379
138	0.2867330348
139	0.2866297737
140	0.2865193123
141	0.2863322706
142	0.2859381936
143	0.285841296
144	0.2856106779
145	0.2854086956
146	0.2852857383
147	0.2852309764
148	0.2850868185
149	0.2850015093
150	0.2849351279
151	0.2848304987
152	0.284712923
